 16 , 19 
 17 , 20 
 18 , 21 
 33 , 37 
 36 , 38 
 34 , 55 
 35 , 56 
 51 , 73 
 54 , 74 
 52 , 91 
 53 , 92 
 69 , 109 
 72 , 110 
 70 , 127 
 71 , 128 
 87 , 145 
 90 , 146 
 88 , 163 
 89 , 164 
 105 , 181 
 108 , 182 
 106 , 199 
 107 , 200 
 123 , 217 
 126 , 218 
 124 , 235 
 125 , 236 
 141 , 253 
 144 , 254 
 142 , 271 
 143 , 272 
 159 , 289 
 162 , 290 
 160 , 307 
 161 , 308 
 177 , 325 
 180 , 326 
 178 , 343 
 179 , 344 
 195 , 361 
 198 , 362 
 196 , 379 
 197 , 380 
 213 , 397 
 216 , 398 
 214 , 415 
 215 , 416 
 231 , 433 
 234 , 434 
 232 , 451 
 233 , 452 
 249 , 469 
 252 , 470 
 250 , 487 
 251 , 488 
 267 , 505 
 270 , 506 
 268 , 523 
 269 , 524 
 285 , 541 
 288 , 542 
 286 , 559 
 287 , 560 
 303 , 577 
 306 , 578 
 304 , 595 
 305 , 596 
 321 , 613 
 324 , 614 
 322 , 631 
 323 , 632 
 339 , 649 
 342 , 650 
 340 , 667 
 341 , 668 
 357 , 685 
 360 , 686 
 358 , 703 
 359 , 704 
 375 , 721 
 378 , 722 
 376 , 739 
 377 , 740 
 393 , 757 
 396 , 758 
 394 , 775 
 395 , 776 
 411 , 793 
 414 , 794 
 412 , 811 
 413 , 812 
 429 , 829 
 432 , 830 
 430 , 847 
 431 , 848 
 447 , 865 
 450 , 866 
 448 , 883 
 449 , 884 
 465 , 901 
 468 , 902 
 466 , 919 
 467 , 920 
 483 , 937 
 486 , 938 
 484 , 955 
 485 , 956 
 501 , 973 
 504 , 974 
 502 , 991 
 503 , 992 
 519 , 1009 
 522 , 1010 
 520 , 1027 
 521 , 1028 
 537 , 1045 
 540 , 1046 
 538 , 1063 
 539 , 1064 
 555 , 1081 
 558 , 1082 
 556 , 1099 
 557 , 1100 
 573 , 1117 
 576 , 1118 
 574 , 1135 
 575 , 1136 
 591 , 1153 
 594 , 1154 
 592 , 1171 
 593 , 1172 
 609 , 1189 
 612 , 1190 
 610 , 1207 
 611 , 1208 
 627 , 1225 
 630 , 1226 
 628 , 1243 
 629 , 1244 
 645 , 1261 
 648 , 1262 
 646 , 1279 
 647 , 1280 
 663 , 1297 
 666 , 1298 
 664 , 1315 
 665 , 1316 
 681 , 1333 
 684 , 1334 
 682 , 1351 
 683 , 1352 
 699 , 1369 
 702 , 1370 
 700 , 1387 
 701 , 1388 
 717 , 1405 
 720 , 1406 
 718 , 1423 
 719 , 1424 
 735 , 1441 
